GeneNames,value1,value2,log2.Fold_change.,log2.Fold_change..normalized,p.value,q.value.Benjamini.et.al..1995.,q.value.Storey.et.al..2003.,Signature.p.value...0.001.,control.1.G,control.1.G.1,control.2.G,control.2.G.1,control.3.G,control.3.G.1,change
Mlkl,3,31,-3.36923381,-3.426562389,1.23E-07,9.21E-07,9.18E-07,TRUE,2,2,2,2,2,30,Down
Mllt6,3,50,-4.058893689,-4.116222268,4.75E-13,4.38E-12,4.37E-12,TRUE,2,40,2,2,2,11,Down
Mmd,7,134,-4.258734268,-4.316062847,0,0,0,TRUE,2,119,6,2,2,16,Down
Mme,15,167,-3.476813697,-3.534142276,0,0,0,TRUE,9,23,7,2,2,145,Down
Mon2,3,957,-8.317412614,-8.374741193,0,0,0,TRUE,2,43,2,2,2,915,Down
Morc2b,11,59,-2.423211431,-2.48054001,6.76E-10,5.58E-09,5.58E-09,TRUE,10,10,2,50,2,2,Down
Morc3,3,390,-7.022367813,-7.079696392,0,0,0,TRUE,2,127,2,2,2,264,Down
Mphosph10,3,20,-2.736965594,-2.794294173,0.000122253,0.000751352,0.00074836,TRUE,2,19,2,2,2,2,Down
Mpp1,3,65,-4.437405312,-4.494733891,0,0,0,TRUE,2,64,2,2,2,2,Down
Mpped2,3,35,-3.544320516,-3.601649095,9.33E-09,7.36E-08,7.34E-08,TRUE,2,34,2,2,2,2,Down
Mrgprx2,3,51,-4.087462841,-4.14479142,2.44E-13,2.27E-12,2.26E-12,TRUE,2,2,2,2,2,50,Down
Mri1,3,216,-6.169925001,-6.22725358,0,0,0,TRUE,2,215,2,2,2,2,Down
Mrnip,3,25,-3.058893689,-3.116222268,5.56E-06,3.76E-05,3.74E-05,TRUE,2,24,2,2,2,2,Down
Mro,3,29,-3.273018494,-3.330347073,4.44E-07,3.21E-06,3.20E-06,TRUE,2,6,2,10,2,16,Down
Mroh9,3,24,-3,-3.057328579,1.04E-05,6.91E-05,6.88E-05,TRUE,2,23,2,2,2,2,Down
Mrpl13,7,31,-2.146841388,-2.204169967,3.12E-05,0.000200916,0.000200904,TRUE,6,14,2,18,2,2,Down
Mrpl14,3,205,-6.094517599,-6.151846178,0,0,0,TRUE,2,8,2,2,2,198,Down
Mrpl19,7,2320,-8.372554168,-8.429882747,0,0,0,TRUE,6,1226,2,1095,2,2,Down
Mrpl40,3,41,-3.772589504,-3.829918083,1.85E-10,1.55E-09,1.55E-09,TRUE,2,40,2,2,2,2,Down
Mrpl42,3,284,-6.564784619,-6.622113198,0,0,0,TRUE,2,283,2,2,2,2,Down
Mrpl52,3,22,-2.874469118,-2.931797697,3.59E-05,0.000229681,0.000228878,TRUE,2,21,2,2,2,2,Down
Mrpl9,3,23,-2.938599455,-2.995928034,1.94E-05,0.000126307,0.00012553,TRUE,2,22,2,2,2,2,Down
Mrps10,3,272,-6.502500341,-6.559828919,0,0,0,TRUE,2,2,2,2,2,271,Down
Mrps14,3,43,-3.841302254,-3.898630833,4.95E-11,4.25E-10,4.24E-10,TRUE,2,2,2,2,2,42,Down
Mrps30,3,27,-3.169925001,-3.22725358,1.58E-06,1.11E-05,1.10E-05,TRUE,2,22,2,6,2,2,Down
Mrps36,3,24,-3,-3.057328579,1.04E-05,6.91E-05,6.88E-05,TRUE,2,23,2,2,2,2,Down
Mrrf,3,472,-7.297680549,-7.355009128,0,0,0,TRUE,2,471,2,2,2,2,Down
Ms4a2,3,21,-2.807354922,-2.864683501,6.64E-05,0.000415934,0.000413598,TRUE,2,20,2,2,2,2,Down
Ms4a4d,3,32,-3.415037499,-3.472366078,6.49E-08,4.92E-07,4.90E-07,TRUE,2,31,2,2,2,2,Down
Ms4a6b,3,116,-5.273018494,-5.330347073,0,0,0,TRUE,2,115,2,2,2,2,Down
Msantd2,3,23,-2.938599455,-2.995928034,1.94E-05,0.000126307,0.00012553,TRUE,2,16,2,2,2,8,Down
Msantd3,15,1556,-6.696735749,-6.754064328,0,0,0,TRUE,2,2,2,16,14,1541,Down
Msh2,3,2365,-9.622661968,-9.679990546,0,0,0,TRUE,2,49,2,2317,2,2,Down
Msl2,3,120,-5.321928095,-5.379256674,0,0,0,TRUE,2,101,2,2,2,20,Down
Msn,753,13222,-4.134146745,-4.191475324,0,0,0,TRUE,620,875,112,3063,24,9287,Down
mt-Nd3,7,52,-2.893084796,-2.950413375,1.84E-10,1.55E-09,1.55E-09,TRUE,2,5,3,48,5,2,Down
mt-Nd6,37,169,-2.191426071,-2.24875465,0,0,0,TRUE,11,166,2,4,27,2,Down
mt-Tp,3,29,-3.273018494,-3.330347073,4.44E-07,3.21E-06,3.20E-06,TRUE,2,2,2,28,2,2,Down
mt-Ts1,35,171,-2.288569498,-2.345898077,0,0,0,TRUE,31,17,4,154,3,3,Down
mt-Tt,3,26,-3.115477217,-3.172805796,2.97E-06,2.04E-05,2.04E-05,TRUE,2,2,2,25,2,2,Down
Mtbp,9,44,-2.289506617,-2.346835196,2.51E-07,1.84E-06,1.84E-06,TRUE,8,6,2,30,2,11,Down
Mtcl1,3,101,-5.073248982,-5.130577561,0,0,0,TRUE,2,100,2,2,2,2,Down
Mtcp1,3,26,-3.115477217,-3.172805796,2.97E-06,2.04E-05,2.04E-05,TRUE,2,25,2,2,2,2,Down
Mthfd2l,3,791,-8.042571384,-8.099899963,0,0,0,TRUE,2,6,2,786,2,2,Down
Mtm1,3,406,-7.080373416,-7.137701995,0,0,0,TRUE,2,405,2,2,2,2,Down
Mtmr7,3,1066,-8.473029222,-8.530357801,0,0,0,TRUE,2,18,2,2,2,1049,Down
Mtus1,3,100,-5.058893689,-5.116222268,0,0,0,TRUE,2,94,2,7,2,2,Down
Mtx2,997,7508,-2.91276324,-2.970091819,0,0,0,TRUE,2,161,996,7348,2,2,Down
Muc1,7,62,-3.146841388,-3.204169967,4.16E-13,3.84E-12,3.84E-12,TRUE,6,61,2,2,2,2,Down
Muc13,3,24,-3,-3.057328579,1.04E-05,6.91E-05,6.88E-05,TRUE,2,2,2,23,2,2,Down
Muc6,3,1031,-8.424866117,-8.482194696,0,0,0,TRUE,2,1026,2,2,2,6,Down
Mug1,3,33,-3.459431619,-3.516760198,3.41E-08,2.62E-07,2.61E-07,TRUE,2,27,2,7,2,2,Down
Mut,3,62,-4.36923381,-4.426562389,1.11E-16,1.14E-15,1.13E-15,TRUE,2,2,2,61,2,2,Down
Mvp,7,43,-2.618909833,-2.676238412,3.76E-08,2.87E-07,2.87E-07,TRUE,2,42,2,2,6,2,Down
Mxd1,3,65,-4.437405312,-4.494733891,0,0,0,TRUE,2,64,2,2,2,2,Down
Mxd4,5,48,-3.263034406,-3.320362985,8.75E-11,7.45E-10,7.45E-10,TRUE,2,47,2,2,4,2,Down
Mxra8,3,471,-7.294620749,-7.351949328,0,0,0,TRUE,2,7,2,2,2,465,Down
Mybl1,3,171,-5.832890014,-5.890218593,0,0,0,TRUE,2,170,2,2,2,2,Down
Mybpc1,3,330,-6.781359714,-6.838688292,0,0,0,TRUE,2,155,2,2,2,176,Down
Mycbp2,8,262,-5.033423002,-5.09075158,0,0,0,TRUE,2,255,7,2,2,8,Down
Myh10,51,241,-2.240463994,-2.297792573,0,0,0,TRUE,38,200,14,42,2,2,Down
Myh2,3,28,-3.222392421,-3.279721,8.38E-07,5.97E-06,5.95E-06,TRUE,2,27,2,2,2,2,Down
Myh7,3,24,-3,-3.057328579,1.04E-05,6.91E-05,6.88E-05,TRUE,2,23,2,2,2,2,Down
Myl6b,3,29,-3.273018494,-3.330347073,4.44E-07,3.21E-06,3.20E-06,TRUE,2,28,2,2,2,2,Down
Mylk4,3,28,-3.222392421,-3.279721,8.38E-07,5.97E-06,5.95E-06,TRUE,2,27,2,2,2,2,Down
Mynn,7,1113,-7.312882955,-7.370211534,0,0,0,TRUE,6,1034,2,2,2,80,Down
Myo10,4,682,-7.413627929,-7.470956508,0,0,0,TRUE,2,677,2,6,3,2,Down
Myo1b,3,123,-5.357552005,-5.414880584,0,0,0,TRUE,2,122,2,2,2,2,Down
Myo5b,3,68,-4.502500341,-4.559828919,0,0,0,TRUE,2,22,2,2,2,47,Down
Myom1,3,33,-3.459431619,-3.516760198,3.41E-08,2.62E-07,2.61E-07,TRUE,2,32,2,2,2,2,Down
Myom2,3,24,-3,-3.057328579,1.04E-05,6.91E-05,6.88E-05,TRUE,2,6,2,2,2,19,Down
Myoz2,3,27,-3.169925001,-3.22725358,1.58E-06,1.11E-05,1.10E-05,TRUE,2,26,2,2,2,2,Down
Mypopos,3,41,-3.772589504,-3.829918083,1.85E-10,1.55E-09,1.55E-09,TRUE,2,40,2,2,2,2,Down
Mysm1,277,7280,-4.715980569,-4.773309148,0,0,0,TRUE,271,180,7,7101,2,2,Down
Myt1l,24,161,-2.745954377,-2.803282956,0,0,0,TRUE,5,83,20,79,2,2,Down
n-R5s25,18,137,-2.928107082,-2.98543566,0,0,0,TRUE,4,33,2,2,15,105,Down
N4bp1,3,23,-2.938599455,-2.995928034,1.94E-05,0.000126307,0.00012553,TRUE,2,22,2,2,2,2,Down
Naa15,3,24,-3,-3.057328579,1.04E-05,6.91E-05,6.88E-05,TRUE,2,22,2,3,2,2,Down
Naa38,3,47,-3.969626351,-4.02695493,3.50E-12,3.13E-11,3.13E-11,TRUE,2,46,2,2,2,2,Down
Naca,3,300,-6.64385619,-6.701184769,0,0,0,TRUE,2,20,2,2,2,281,Down
Nadk2,14,72,-2.362570079,-2.419898658,1.83E-11,1.59E-10,1.59E-10,TRUE,13,2,2,2,2,71,Down
Nap1l4,121,5756,-5.571987639,-5.629316218,0,0,0,TRUE,115,10,7,5747,2,2,Down
Nav1,4,52,-3.700439718,-3.757768297,1.05E-12,9.56E-12,9.56E-12,TRUE,3,51,2,2,2,2,Down
Nbeal1,15,316,-4.396890153,-4.454218732,0,0,0,TRUE,14,308,2,9,2,2,Down
Ncam1,69,2401,-5.120895231,-5.17822381,0,0,0,TRUE,19,2348,28,24,25,32,Down
Ncan,36,208,-2.530514717,-2.587843296,0,0,0,TRUE,35,159,2,13,2,39,Down
Ncapd3,3,74,-4.624490865,-4.681819444,0,0,0,TRUE,2,12,2,63,2,2,Down
Ncbp3,193,1444,-2.90339799,-2.960726569,0,0,0,TRUE,2,1443,192,2,2,2,Down
Nckap1,3,27,-3.169925001,-3.22725358,1.58E-06,1.11E-05,1.10E-05,TRUE,2,8,2,20,2,2,Down
Nckap1l,3,4971,-10.69435789,-10.75168647,0,0,0,TRUE,2,34,2,2,2,4938,Down
Nckap5,3,117,-5.285402219,-5.342730798,0,0,0,TRUE,2,45,2,2,2,73,Down
Ncoa2,61,106529,-10.77014936,-10.82747794,0,0,0,TRUE,8,282,2,19,54,106231,Down
Ncoa6,3,43,-3.841302254,-3.898630833,4.95E-11,4.25E-10,4.24E-10,TRUE,2,2,2,42,2,2,Down
