GeneNames,value1,value2,log2.Fold_change.,log2.Fold_change..normalized,p.value,q.value.Benjamini.et.al..1995.,q.value.Storey.et.al..2003.,Signature.p.value...0.001.,Test.1.G,Test.1.G.1,Test.2.G,Test.2.G.1,Test.3.G,Test.3.G.1,change,label
Gm11199,15,214,-3.834576391,-3.871326046,0,0,0,TRUE,1,212,13,1,1,1,Down,NA
Gm11257,3,39,-3.700439718,-3.737189373,8.99E-10,5.07E-09,5.07E-09,TRUE,1,1,1,37,1,1,Down,NA
Gm11354,3,119,-5.309855263,-5.346604917,0,0,0,TRUE,1,117,1,1,1,1,Down,NA
Gm11368,9,101,-3.488286481,-3.525036136,0,0,0,TRUE,7,1,1,99,1,1,Down,NA
Gm11406,82,851,-3.375463317,-3.412212972,0,0,0,TRUE,47,1,34,1,1,849,Down,NA
Gm11411,30,125,-2.058893689,-2.095643344,7.77E-16,5.48E-15,5.47E-15,TRUE,1,1,28,123,1,1,Down,NA
Gm11418,14,90,-2.684498174,-2.721247829,1.22E-15,8.54E-15,8.54E-15,TRUE,1,1,12,1,1,88,Down,NA
Gm11510,554,5876,-3.406876515,-3.443626169,0,0,0,TRUE,418,5855,135,20,1,1,Down,NA
Gm11619,29,116,-2,-2.036749655,2.44E-14,1.65E-13,1.65E-13,TRUE,11,114,17,1,1,1,Down,NA
Gm11630,16,144,-3.169925001,-3.206674656,0,0,0,TRUE,7,86,8,57,1,1,Down,NA
Gm11680,38,275,-2.855360295,-2.89210995,0,0,0,TRUE,12,266,25,8,1,1,Down,NA
Gm11712,134,1798,-3.746088115,-3.78283777,0,0,0,TRUE,78,1,55,1796,1,1,Down,NA
Gm11718,20,117,-2.548436625,-2.585186279,0,0,0,TRUE,2,1,17,115,1,1,Down,NA
Gm11797,3,28,-3.222392421,-3.259142076,1.01E-06,4.90E-06,4.90E-06,TRUE,1,1,1,26,1,1,Down,NA
Gm11831,24,407,-4.083922484,-4.120672138,0,0,0,TRUE,22,1,1,405,1,1,Down,NA
Gm11940,265,1302,-2.296665184,-2.333414839,0,0,0,TRUE,55,1,209,1257,1,44,Down,NA
Gm11998,76,1024,-3.752072487,-3.788822141,0,0,0,TRUE,68,1,7,1,1,1022,Down,NA
Gm11999,45,428,-3.24961389,-3.286363545,0,0,0,TRUE,28,1,16,426,1,1,Down,NA
Gm12001,3,25,-3.058893689,-3.095643344,6.57E-06,2.99E-05,2.99E-05,TRUE,1,1,1,23,1,1,Down,NA
Gm12026,3,73,-4.604862058,-4.641611713,0,0,0,TRUE,1,1,1,1,1,71,Down,NA
Gm12043,37,11014,-8.217597528,-8.254347182,0,0,0,TRUE,19,11008,17,1,1,5,Down,NA
Gm12149,3,75,-4.64385619,-4.680605845,0,0,0,TRUE,1,1,1,1,1,73,Down,NA
Gm12166,16,853,-5.736401931,-5.773151586,0,0,0,TRUE,1,5,14,1,1,847,Down,NA
Gm12289,7,36,-2.362570079,-2.399319734,2.52E-06,1.19E-05,1.19E-05,TRUE,5,1,1,34,1,1,Down,NA
Gm12309,276,1133,-2.037407689,-2.074157344,0,0,0,TRUE,101,1,174,1,1,1131,Down,NA
Gm12366,6,26,-2.115477217,-2.152226872,0.000183678,0.000754844,0.000754815,TRUE,4,1,1,1,1,24,Down,NA
Gm12503,3,43,-3.841302254,-3.878051909,6.66E-11,3.95E-10,3.95E-10,TRUE,1,1,1,41,1,1,Down,NA
Gm12529,5,25,-2.321928095,-2.35867775,0.000103625,0.000435064,0.000435013,TRUE,1,23,3,1,1,1,Down,NA
Gm12602,3,146,-5.604862058,-5.641611713,0,0,0,TRUE,1,1,1,1,1,144,Down,NA
Gm12606,3,50,-4.058893689,-4.095643344,6.73E-13,4.31E-12,4.31E-12,TRUE,1,1,1,22,1,27,Down,NA
Gm12607,9,261,-4.857980995,-4.89473065,0,0,0,TRUE,7,1,1,1,1,259,Down,NA
Gm12684,3,20,-2.736965594,-2.773715249,0.000139434,0.000574514,0.000574184,TRUE,1,1,1,18,1,1,Down,NA
Gm12711,3,30,-3.321928095,-3.35867775,2.87E-07,1.43E-06,1.43E-06,TRUE,1,1,1,1,1,28,Down,NA
Gm12811,3,29,-3.273018494,-3.309768149,5.40E-07,2.65E-06,2.65E-06,TRUE,1,1,1,27,1,1,Down,NA
Gm12994,291,1205,-2.049942088,-2.086691743,0,0,0,TRUE,188,1,102,8,1,1196,Down,NA
Gm13013,21,108,-2.362570079,-2.399319734,3.33E-16,2.38E-15,2.37E-15,TRUE,7,99,13,1,1,8,Down,NA
Gm13039,3,96,-5,-5.036749655,0,0,0,TRUE,1,94,1,1,1,1,Down,NA
Gm13626,5,30,-2.584962501,-2.621712156,6.11E-06,2.81E-05,2.81E-05,TRUE,3,1,1,28,1,1,Down,NA
Gm13702,10,153,-3.935459748,-3.972209403,0,0,0,TRUE,4,1,5,1,1,151,Down,NA
Gm13930,6,110,-4.196397213,-4.233146868,0,0,0,TRUE,1,1,4,108,1,1,Down,NA
Gm13937,37,164,-2.148098639,-2.184848294,0,0,0,TRUE,19,1,17,162,1,1,Down,NA
Gm13961,3,60,-4.321928095,-4.35867775,8.88E-16,6.25E-15,6.25E-15,TRUE,1,1,1,58,1,1,Down,NA
Gm13972,3,983,-8.356085106,-8.39283476,0,0,0,TRUE,1,1,1,1,1,981,Down,NA
Gm14164,9,69,-2.938599455,-2.97534911,2.13E-13,1.39E-12,1.39E-12,TRUE,4,1,4,67,1,1,Down,NA
Gm14325,8,44,-2.459431619,-2.496181273,1.01E-07,5.11E-07,5.11E-07,TRUE,1,1,6,42,1,1,Down,NA
Gm14394,7,116,-4.050626073,-4.087375728,0,0,0,TRUE,5,1,1,1,1,114,Down,NA
Gm14455,3,20,-2.736965594,-2.773715249,0.000139434,0.000574514,0.000574184,TRUE,1,18,1,1,1,1,Down,NA
Gm14549,3,24,-3,-3.036749655,1.22E-05,5.44E-05,5.44E-05,TRUE,1,1,1,22,1,1,Down,NA
Gm14667,15,203,-3.758445322,-3.795194976,0,0,0,TRUE,1,1,13,89,1,113,Down,NA
Gm14703,3,25,-3.058893689,-3.095643344,6.57E-06,2.99E-05,2.99E-05,TRUE,1,1,1,23,1,1,Down,NA
Gm14781,3,385,-7.003752135,-7.04050179,0,0,0,TRUE,1,383,1,1,1,1,Down,NA
Gm14782,6,82,-3.772589504,-3.809339159,0,0,0,TRUE,1,1,4,13,1,68,Down,NA
Gm14807,7,530,-6.242493627,-6.279243282,0,0,0,TRUE,1,528,5,1,1,1,Down,NA
Gm14840,32,531,-4.052568051,-4.089317706,0,0,0,TRUE,17,1,14,529,1,1,Down,NA
Gm14861,32,213,-2.73470962,-2.771459275,0,0,0,TRUE,7,211,24,1,1,1,Down,NA
Gm14868,3,47,-3.969626351,-4.006376006,4.85E-12,3.01E-11,3.01E-11,TRUE,1,1,1,1,1,45,Down,NA
Gm14897,3,92,-4.938599455,-4.97534911,0,0,0,TRUE,1,90,1,1,1,1,Down,NA
Gm15011,3,39,-3.700439718,-3.737189373,8.99E-10,5.07E-09,5.07E-09,TRUE,1,37,1,1,1,1,Down,NA
Gm15200,9,46,-2.353636955,-2.390386609,1.11E-07,5.63E-07,5.63E-07,TRUE,7,1,1,44,1,1,Down,NA
Gm15319,10,40,-2,-2.036749655,7.56E-06,3.43E-05,3.43E-05,TRUE,8,1,1,6,1,33,Down,NA
Gm15513,3,65,-4.437405312,-4.474154967,0,0,0,TRUE,1,63,1,1,1,1,Down,NA
Gm15519,7,72,-3.362570079,-3.399319734,1.33E-15,9.31E-15,9.31E-15,TRUE,5,1,1,70,1,1,Down,NA
Gm15624,3,1454,-8.920849053,-8.957598708,0,0,0,TRUE,1,1,1,1452,1,1,Down,NA
Gm15659,26,273,-3.392317423,-3.429067078,0,0,0,TRUE,9,1,16,271,1,1,Down,NA
Gm15807,40,472,-3.560714954,-3.597464609,0,0,0,TRUE,36,470,3,1,1,1,Down,NA
Gm15823,3,32,-3.415037499,-3.451787154,8.07E-08,4.15E-07,4.15E-07,TRUE,1,1,1,30,1,1,Down,NA
Gm15917,3,36,-3.584962501,-3.621712156,6.24E-09,3.39E-08,3.39E-08,TRUE,1,1,1,34,1,1,Down,NA
Gm16005,14,84,-2.584962501,-2.621712156,3.80E-14,2.54E-13,2.54E-13,TRUE,12,1,1,1,1,82,Down,NA
Gm16016,4,34,-3.087462841,-3.124212496,1.29E-07,6.57E-07,6.57E-07,TRUE,2,1,1,32,1,1,Down,NA
Gm16026,17,83,-2.28757659,-2.324326245,2.37E-12,1.49E-11,1.49E-11,TRUE,5,1,8,1,4,81,Down,NA
Gm16033,18,273,-3.922832139,-3.959581794,0,0,0,TRUE,9,1,8,271,1,1,Down,NA
Gm16096,3,207,-6.108524457,-6.145274112,0,0,0,TRUE,1,1,1,20,1,186,Down,NA
Gm16129,4,36,-3.169925001,-3.206674656,3.77E-08,1.96E-07,1.96E-07,TRUE,2,1,1,1,1,34,Down,NA
Gm16153,3,34,-3.502500341,-3.539249995,2.25E-08,1.19E-07,1.19E-07,TRUE,1,1,1,32,1,1,Down,NA
