GeneNames,value1,value2,log2(Fold_change),log2(Fold_change) normalized,p-value,q-value(Benjamini et al. 1995),q-value(Storey et al. 2003),Signature(p-value < 0.001)
Rbm25,1943,860,1.175877336,1.233205915,0,0,0,TRUE
Lmbr1,22,230,-3.386058432,-3.328729853,0,0,0,TRUE
Cars,3,74,-4.624490865,-4.567162286,0,0,0,TRUE
Tbrg1,150,713,-2.248939576,-2.191610997,0,0,0,TRUE
Cpb1,3,80,-4.736965594,-4.679637015,0,0,0,TRUE
Evi5,178,3,5.89077093,5.948099509,0,0,0,TRUE
Brms1l,3,203,-6.080373416,-6.023044838,0,0,0,TRUE
Rpl15,3,213,-6.14974712,-6.092418541,0,0,0,TRUE
Tmem167,12525,290,5.432613893,5.489942472,0,0,0,TRUE
Tnpo3,717,1549,-1.11129212,-1.053963541,0,0,0,TRUE
Gfod2,6,168,-4.807354922,-4.750026343,0,0,0,TRUE
Igf2bp1,249,42,2.567684509,2.625013088,0,0,0,TRUE
B4galnt2,132,20,2.722466024,2.779794603,0,0,0,TRUE
Bcas1,16,233,-3.864186145,-3.806857566,0,0,0,TRUE
Atad1,3,90,-4.906890596,-4.849562017,0,0,0,TRUE
Pten,132,2323,-4.137379319,-4.080050741,0,0,0,TRUE
Dedd,44,235,-2.417085328,-2.359756749,0,0,0,TRUE
Nit1,88,319,-1.857980995,-1.800652416,0,0,0,TRUE
Prdm15,507,3,7.400879436,7.458208015,0,0,0,TRUE
Rnf168,30,171,-2.510961919,-2.45363334,0,0,0,TRUE
Ndufa2,219,17,3.687324218,3.744652797,0,0,0,TRUE
Cox6c,184,21,3.131244533,3.188573112,0,0,0,TRUE
Ube2z,262,3,6.448460501,6.50578908,0,0,0,TRUE
Anapc1,35,169,-2.271596419,-2.21426784,0,0,0,TRUE
Mertk,26,314,-3.594181031,-3.536852452,0,0,0,TRUE
Ankrd52,140,3,5.544320516,5.601649095,0,0,0,TRUE
Pkd2l2,96,3,5,5.057328579,0,0,0,TRUE
Mrps25,11,128,-3.540568381,-3.483239802,0,0,0,TRUE
Dguok,90,5,4.169925001,4.22725358,0,0,0,TRUE
Camta1,3026,84,5.170878849,5.228207428,0,0,0,TRUE
Csf1,65,3,4.437405312,4.494733891,0,0,0,TRUE
Adam28,900,1341,-0.575312331,-0.517983752,0,0,0,TRUE
Tex261,1833,3,9.25502857,9.312357149,0,0,0,TRUE
Naf1,3,1711,-9.155661544,-9.098332965,0,0,0,TRUE
Yes1,203,673,-1.729126777,-1.671798198,0,0,0,TRUE
Ppp1cb,4027,26518,-2.719194593,-2.661866014,0,0,0,TRUE
Efr3a,156,3,5.700439718,5.757768297,0,0,0,TRUE
Ddx19a,91,3,4.922832139,4.980160718,0,0,0,TRUE
Slc25a13,347,9366,-4.75442547,-4.697096891,0,0,0,TRUE
Ube2i,683,132,2.371347649,2.428676228,0,0,0,TRUE
Hnrnpl,652,1675,-1.361217226,-1.303888647,0,0,0,TRUE
Casd1,950,24,5.306821202,5.364149781,0,0,0,TRUE
Map2,1831,4048,-1.144577499,-1.08724892,0,0,0,TRUE
Cybb,173,913,-2.399842822,-2.342514243,0,0,0,TRUE
Golga7,3,139,-5.533978572,-5.476649993,0,0,0,TRUE
Mrpl32,712,3256,-2.193151553,-2.135822974,0,0,0,TRUE
Setdb1,520,27,4.267480311,4.32480889,0,0,0,TRUE
Capza2,145,1013,-2.804509369,-2.74718079,0,0,0,TRUE
Prpf3,57,234,-2.037474705,-1.980146126,0,0,0,TRUE
Aph1a,491,235,1.063062268,1.120390847,0,0,0,TRUE
Ppil4,841,10425,-3.631797773,-3.574469194,0,0,0,TRUE
Med28,134,3,5.48112669,5.538455269,0,0,0,TRUE
Qdpr,249,62,2.005805622,2.063134201,0,0,0,TRUE
Sqstm1,71,3,4.564784619,4.622113198,0,0,0,TRUE
