"","category","subcategory","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"mmu05418","Human Diseases","Cardiovascular disease","mmu05418","Fluid shear stress and atherosclerosis - Mus musculus (house mouse)","2/38","148/9574",0.0135135135135135,3.40469416785206,1.86105709356647,0.116434831228726,0.436140823837929,0.398886344493705,"Cav2/Nqo1",2
"mmu01240","Metabolism","Global and overview maps","mmu01240","Biosynthesis of cofactors - Mus musculus (house mouse)","2/38","151/9574",0.0132450331125828,3.33705123736494,1.82723673849608,0.120343862239855,0.436140823837929,0.398886344493705,"Nqo1/Vkorc1l1",2
"mmu05022","Human Diseases","Neurodegenerative disease","mmu05022","Pathways of neurodegeneration - multiple diseases - Mus musculus (house mouse)","4/38","481/9574",0.00831600831600832,2.09519641098588,1.55576379700191,0.121547442708931,0.436140823837929,0.398886344493705,"Atxn3/Sncaip/Spg11/Trpc3",4
"mmu04360","Organismal Systems","Development and regeneration","mmu04360","Axon guidance - Mus musculus (house mouse)","2/38","181/9574",0.0110497237569061,2.78394882233207,1.52950965947057,0.161055222508201,0.545798254055568,0.499177005434774,"Ablim1/Trpc3",2
"mmu05205","Human Diseases","Cancer: overview","mmu05205","Proteoglycans in cancer - Mus musculus (house mouse)","2/38","204/9574",0.00980392156862745,2.47007223942208,1.33972811488562,0.193782965760246,0.622145311125,0.569002614143658,"Cav2/Ptpn6",2
"mmu05140","Human Diseases","Infectious disease: parasitic","mmu05140","Leishmaniasis - Mus musculus (house mouse)","1/38","70/9574",0.0142857142857143,3.59924812030075,1.37776850031959,0.243761684144959,0.647848165606979,0.592509970270403,"Ptpn6",1
"mmu04924","Organismal Systems","Endocrine system","mmu04924","Renin secretion - Mus musculus (house mouse)","1/38","76/9574",0.0131578947368421,3.31509695290859,1.27906496544034,0.261728063743214,0.647848165606979,0.592509970270403,"Ptger4",1
"mmu05132","Human Diseases","Infectious disease: bacterial","mmu05132","Salmonella infection - Mus musculus (house mouse)","2/38","252/9574",0.00793650793650794,1.99958228905597,1.01507230840442,0.2642773516096,0.647848165606979,0.592509970270403,"Arf6/Arpc1a",2
"mmu04721","Organismal Systems","Nervous system","mmu04721","Synaptic vesicle cycle - Mus musculus (house mouse)","1/38","77/9574",0.012987012987013,3.27204374572796,1.26357649662501,0.264681773321836,0.647848165606979,0.592509970270403,"Cplx2",1
"mmu04662","Organismal Systems","Immune system","mmu04662","B cell receptor signaling pathway - Mus musculus (house mouse)","1/38","84/9574",0.0119047619047619,2.99937343358396,1.16180478429722,0.285037960647136,0.647848165606979,0.592509970270403,"Ptpn6",1
"mmu05235","Human Diseases","Cancer: overview","mmu05235","PD-L1 expression and PD-1 checkpoint pathway in cancer - Mus musculus (house mouse)","1/38","88/9574",0.0113636363636364,2.86303827751196,1.10829215823068,0.296422598585766,0.647848165606979,0.592509970270403,"Ptpn6",1
"mmu04727","Organismal Systems","Nervous system","mmu04727","GABAergic synapse - Mus musculus (house mouse)","1/38","90/9574",0.0111111111111111,2.79941520467836,1.08265372503421,0.302048530314328,0.647848165606979,0.592509970270403,"Slc12a5",1
"mmu04520","Cellular Processes","Cellular community - eukaryotes","mmu04520","Adherens junction - Mus musculus (house mouse)","1/38","92/9574",0.0108695652173913,2.73855835240275,1.05770831019828,0.307630650696053,0.647848165606979,0.592509970270403,"Ptpn6",1
"mmu04640","Organismal Systems","Immune system","mmu04640","Hematopoietic cell lineage - Mus musculus (house mouse)","1/38","94/9574",0.0106382978723404,2.68029115341545,1.03342034095057,0.313169291756101,0.647848165606979,0.592509970270403,"Siglech",1
"mmu05146","Human Diseases","Infectious disease: parasitic","mmu05146","Amoebiasis - Mus musculus (house mouse)","1/38","108/9574",0.00925925925925926,2.33284600389864,0.879308575129659,0.350749738827903,0.647848165606979,0.592509970270403,"Muc2",1
"mmu04350","Environmental Information Processing","Signal transduction","mmu04350","TGF-beta signaling pathway - Mus musculus (house mouse)","1/38","110/9574",0.00909090909090909,2.29043062200957,0.859263459555491,0.355952208243612,0.647848165606979,0.592509970270403,"Skil",1
"mmu04650","Organismal Systems","Immune system","mmu04650","Natural killer cell mediated cytotoxicity - Mus musculus (house mouse)","1/38","120/9574",0.00833333333333333,2.09956140350877,0.765129624750023,0.381361700956675,0.647848165606979,0.592509970270403,"Ptpn6",1
"mmu04660","Organismal Systems","Immune system","mmu04660","T cell receptor signaling pathway - Mus musculus (house mouse)","1/38","122/9574",0.00819672131147541,2.06514236410699,0.747409173100733,0.386325155265262,0.647848165606979,0.592509970270403,"Ptpn6",1
"mmu03008","Genetic Information Processing","Translation","mmu03008","Ribosome biogenesis in eukaryotes - Mus musculus (house mouse)","1/38","125/9574",0.008,2.01557894736842,0.721453721653323,0.393697710892845,0.647848165606979,0.592509970270403,"Nmd3",1
"mmu05150","Human Diseases","Infectious disease: bacterial","mmu05150","Staphylococcus aureus infection - Mus musculus (house mouse)","1/38","128/9574",0.0078125,1.96833881578947,0.696211289938667,0.400983997796803,0.647848165606979,0.592509970270403,"Krt10",1
"mmu04750","Organismal Systems","Sensory system","mmu04750","Inflammatory mediator regulation of TRP channels - Mus musculus (house mouse)","1/38","130/9574",0.00769230769230769,1.93805668016194,0.67975979464868,0.405794080958794,0.647848165606979,0.592509970270403,"Ptger4",1
"mmu04728","Organismal Systems","Nervous system","mmu04728","Dopaminergic synapse - Mus musculus (house mouse)","1/38","136/9574",0.00735294117647059,1.85255417956656,0.632097630142959,0.419999775326316,0.647848165606979,0.592509970270403,"Clock",1
"mmu04550","Cellular Processes","Cellular community - eukaryotes","mmu04550","Signaling pathways regulating pluripotency of stem cells - Mus musculus (house mouse)","1/38","140/9574",0.00714285714285714,1.79962406015038,0.601637145036041,0.429285945396366,0.647848165606979,0.592509970270403,"Skil",1
