GeneNames,value1,value2,log2.Fold_change.,log2.Fold_change..normalized,p.value,q.value.Benjamini.et.al..1995.,q.value.Storey.et.al..2003.,Signature.p.value...0.001.,Test.1.G,Test.2.G,Test.3.G,control.1.G,control.2.G,control.3.G,change,label,FDR
Abcf1,46,3,3.938599455,4.059489625,2.50E-12,1.61E-11,1.60E-11,TRUE,22,23,1,1,1,1,Up,NA,1.65E-11
Abcg1,4532,709,2.676290329,2.797180498,0,0,0,TRUE,3526,997,9,707,1,1,Up,NA,0
Abcg3,22,3,2.874469118,2.995359288,2.27E-05,0.000100077,9.95E-05,TRUE,10,11,1,1,1,1,Up,NA,0.000103306
Abcg5,181,3,5.914883386,6.035773556,0,0,0,TRUE,5,175,1,1,1,1,Up,NA,0
Abcg8,30,3,3.321928095,3.442818265,1.24E-07,6.36E-07,6.33E-07,TRUE,1,28,1,1,1,1,Up,NA,6.54E-07
Abhd14a,249,3,6.375039431,6.495929601,0,0,0,TRUE,215,33,1,1,1,1,Up,NA,0
Abhd17b,63,3,4.392317423,4.513207592,0,0,0,TRUE,61,1,1,1,1,1,Up,NA,0
Abhd17c,180,3,5.906890596,6.027780765,0,0,0,TRUE,55,124,1,1,1,1,Up,NA,0
Abhd4,3102,207,3.905496014,4.026386183,0,0,0,TRUE,14,24,3064,1,9,197,Up,NA,0
Abhd5,190,12,3.984893108,4.105783277,0,0,0,TRUE,58,131,1,10,1,1,Up,NA,0
Abi1,943,72,3.711188959,3.832079129,0,0,0,TRUE,588,226,129,1,59,12,Up,NA,0
Abi2,4361,836,2.383084143,2.503974313,0,0,0,TRUE,83,25,4253,1,834,1,Up,NA,0
Abi3bp,1319,144,3.195303848,3.316194018,0,0,0,TRUE,460,856,3,142,1,1,Up,NA,0
Abl2,31,3,3.36923381,3.490123979,6.37E-08,3.33E-07,3.31E-07,TRUE,29,1,1,1,1,1,Up,NA,3.42E-07
Abr,50,3,4.058893689,4.179783859,1.60E-13,1.07E-12,1.07E-12,TRUE,31,18,1,1,1,1,Up,NA,1.10E-12
Abra,1862,3,9.277674857,9.398565027,0,0,0,TRUE,232,1629,1,1,1,1,Up,NA,0
Abraxas1,53,12,2.142957954,2.263848124,2.02E-08,1.08E-07,1.08E-07,TRUE,21,31,1,1,10,1,Up,NA,1.12E-07
Abraxas2,4381,3,10.512082,10.63297217,0,0,0,TRUE,348,4032,1,1,1,1,Up,NA,0
AC022775.2,2125,28,6.245892204,6.366782374,0,0,0,TRUE,66,33,2026,24,3,1,Up,NA,0
AC061963.1,41,3,3.772589504,3.893479674,7.62E-11,4.60E-10,4.58E-10,TRUE,39,1,1,1,1,1,Up,NA,4.73E-10
AC074315.1,100,3,5.058893689,5.179783859,0,0,0,TRUE,82,17,1,1,1,1,Up,NA,0
AC079680.2,20,3,2.736965594,2.857855764,8.09E-05,0.000341308,0.000338691,TRUE,18,1,1,1,1,1,Up,NA,0.000352133
AC093022.1,21,3,2.807354922,2.928245092,4.29E-05,0.000185542,0.000184137,TRUE,12,8,1,1,1,1,Up,NA,0.000191319
AC093022.4,142,3,5.564784619,5.685674788,0,0,0,TRUE,40,101,1,1,1,1,Up,NA,0
AC093043.2,75,3,4.64385619,4.764746359,0,0,0,TRUE,11,63,1,1,1,1,Up,NA,0
AC098719.1,135,3,5.491853096,5.612743266,0,0,0,TRUE,1,1,133,1,1,1,Up,NA,0
AC102569.1,255,3,6.409390936,6.530281106,0,0,0,TRUE,51,203,1,1,1,1,Up,NA,0
AC102815.3,20,3,2.736965594,2.857855764,8.09E-05,0.000341308,0.000338691,TRUE,2,1,17,1,1,1,Up,NA,0.000352133
AC102847.1,66,3,4.459431619,4.580321788,0,0,0,TRUE,36,29,1,1,1,1,Up,NA,0
AC107232.1,1405,138,3.347829958,3.468720128,0,0,0,TRUE,419,985,1,136,1,1,Up,NA,0
AC107711.5,46,7,2.716207034,2.837097204,2.60E-09,1.46E-08,1.46E-08,TRUE,3,13,30,5,1,1,Up,NA,1.50E-08
AC110211.2,448,3,7.222392421,7.343282591,0,0,0,TRUE,230,187,31,1,1,1,Up,NA,0
AC112142.1,369,55,2.746117293,2.867007462,0,0,0,TRUE,51,317,1,53,1,1,Up,NA,0
AC113031.6,33,3,3.459431619,3.580321788,1.68E-08,9.06E-08,9.02E-08,TRUE,8,24,1,1,1,1,Up,NA,9.32E-08
AC113125.1,64,3,4.415037499,4.535927669,0,0,0,TRUE,3,60,1,1,1,1,Up,NA,0
AC113198.1,250,3,6.380821784,6.501711954,0,0,0,TRUE,1,248,1,1,1,1,Up,NA,0
AC113291.1,25,6,2.058893689,2.179783859,0.000167963,0.000682932,0.000682829,TRUE,6,15,4,4,1,1,Up,NA,0.000710668
AC114585.1,63,3,4.392317423,4.513207592,0,0,0,TRUE,20,42,1,1,1,1,Up,NA,0
AC115735.1,779,17,5.518016677,5.638906847,0,0,0,TRUE,752,26,1,15,1,1,Up,NA,0
AC115746.1,296,3,6.624490865,6.745381035,0,0,0,TRUE,31,264,1,1,1,1,Up,NA,0
AC115784.1,21,3,2.807354922,2.928245092,4.29E-05,0.000185542,0.000184137,TRUE,12,8,1,1,1,1,Up,NA,0.000191319
AC116487.1,2210,80,4.787902559,4.908792729,0,0,0,TRUE,516,1687,7,72,7,1,Up,NA,0
AC116596.1,41,3,3.772589504,3.893479674,7.62E-11,4.60E-10,4.58E-10,TRUE,17,23,1,1,1,1,Up,NA,4.73E-10
AC116797.2,30,3,3.321928095,3.442818265,1.24E-07,6.36E-07,6.33E-07,TRUE,9,20,1,1,1,1,Up,NA,6.54E-07
AC116950.1,23,3,2.938599455,3.059489625,1.20E-05,5.39E-05,5.35E-05,TRUE,1,21,1,1,1,1,Up,NA,5.55E-05
AC117194.1,21920,351,5.964632958,6.085523127,0,0,0,TRUE,874,4631,16415,310,5,36,Up,NA,0
AC119264.1,188,3,5.969626351,6.090516521,0,0,0,TRUE,19,168,1,1,1,1,Up,NA,0
AC120163.1,27,3,3.169925001,3.290815171,8.92E-07,4.35E-06,4.31E-06,TRUE,6,20,1,1,1,1,Up,NA,4.47E-06
AC120375.1,239,3,6.315904307,6.436794477,0,0,0,TRUE,228,10,1,1,1,1,Up,NA,0
AC120375.2,3022,3,9.976325444,10.09721561,0,0,0,TRUE,1177,1844,1,1,1,1,Up,NA,0
AC121574.1,19,3,2.662965013,2.783855182,0.000151596,0.000623237,0.00061727,TRUE,1,17,1,1,1,1,Up,NA,0.000642239
AC121598.1,119,3,5.309855263,5.430745432,0,0,0,TRUE,113,5,1,1,1,1,Up,NA,0
AC121788.1,29,3,3.273018494,3.393908664,2.40E-07,1.21E-06,1.20E-06,TRUE,21,7,1,1,1,1,Up,NA,1.24E-06
AC121912.1,30,3,3.321928095,3.442818265,1.24E-07,6.36E-07,6.33E-07,TRUE,20,9,1,1,1,1,Up,NA,6.54E-07
AC121960.2,1511,252,2.584008022,2.704898191,0,0,0,TRUE,1117,393,1,1,250,1,Up,NA,0
AC122263.1,5356,3,10.80197774,10.92286791,0,0,0,TRUE,1672,2134,1550,1,1,1,Up,NA,0
AC122335.1,19,3,2.662965013,2.783855182,0.000151596,0.000623237,0.00061727,TRUE,1,17,1,1,1,1,Up,NA,0.000642239
AC122356.1,26,3,3.115477217,3.236367387,1.72E-06,8.20E-06,8.16E-06,TRUE,11,10,5,1,1,1,Up,NA,8.46E-06
AC122418.1,24,3,3,3.12089017,6.28E-06,2.89E-05,2.87E-05,TRUE,1,22,1,1,1,1,Up,NA,2.98E-05
AC122769.3,141,7,4.33219643,4.4530866,0,0,0,TRUE,137,3,1,1,5,1,Up,NA,0
AC122901.1,69,3,4.523561956,4.644452126,0,0,0,TRUE,30,11,28,1,1,1,Up,NA,0
AC123061.1,29,3,3.273018494,3.393908664,2.40E-07,1.21E-06,1.20E-06,TRUE,25,3,1,1,1,1,Up,NA,1.24E-06
AC123061.2,294,3,6.614709844,6.735600014,0,0,0,TRUE,287,6,1,1,1,1,Up,NA,0
AC123705.1,5974,3,10.95951902,11.08040919,0,0,0,TRUE,407,1398,4169,1,1,1,Up,NA,0
AC124455.1,129,3,5.426264755,5.547154924,0,0,0,TRUE,9,7,113,1,1,1,Up,NA,0
AC125074.1,86,9,3.256339753,3.377229923,0,0,0,TRUE,17,68,1,1,1,7,Up,NA,0
AC125405.2,20,3,2.736965594,2.857855764,8.09E-05,0.000341308,0.000338691,TRUE,1,18,1,1,1,1,Up,NA,0.000352133
AC126033.1,46,3,3.938599455,4.059489625,2.50E-12,1.61E-11,1.60E-11,TRUE,36,9,1,1,1,1,Up,NA,1.65E-11
AC126251.1,933,3,8.28077077,8.40166094,0,0,0,TRUE,917,15,1,1,1,1,Up,NA,0
AC126804.1,220,3,6.196397213,6.317287383,0,0,0,TRUE,11,208,1,1,1,1,Up,NA,0
AC127578.1,21,3,2.807354922,2.928245092,4.29E-05,0.000185542,0.000184137,TRUE,10,10,1,1,1,1,Up,NA,0.000191319
AC129935.1,5580,191,4.868620579,4.989510748,0,0,0,TRUE,110,1986,3484,189,1,1,Up,NA,0
AC130219.1,23,3,2.938599455,3.059489625,1.20E-05,5.39E-05,5.35E-05,TRUE,5,17,1,1,1,1,Up,NA,5.55E-05
