id,name,Test-1+G,Test-1-G,Test-2+G,Test-2-G,Test-3+G,Test-3-G,control-1+G,control-1-G,control-2+G,control-2-G,control-3+G,control-3-G
ENSMUSG00000106366,Mir3069,1,0,1,0,0,0,0,1,0,0,0,0
ENSMUSG00000106367,Gm34078,2,0,0,0,0,14,0,0,0,0,0,0
ENSMUSG00000106368,Gm44453,2,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000106369,Gm43355,0,0,0,0,0,0,0,3,0,0,0,0
ENSMUSG00000106370,Gm43382,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000106371,9530097N15Rik,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000106372,Igkv14-126-1,4,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000106373,Gm6522,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000106374,Gm27680,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000106375,Gm43361,127,0,78,0,0,0,0,493,0,0,0,44
ENSMUSG00000106376,Gm34139,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000106377,Gm44300,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000106378,Gm42945,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000106379,Lhfpl3,98,0,1223,0,0,0,805,67,4,0,131,0
ENSMUSG00000106380,Gm3519,4,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000106381,Igkv2-95-1,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000106382,Trav4-1,19,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000106383,E330034L11Rik,20,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000106384,Gm43188,0,0,12,0,0,353,0,0,0,0,0,0
ENSMUSG00000106385,Gm42943,4,0,0,2,0,0,0,0,1,0,0,0
ENSMUSG00000106386,Gm42991,34,0,76,515,0,0,4,27,0,0,0,0
ENSMUSG00000106387,Igkv4-73,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000106388,Rhox7-ps2,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000106389,Gm21006,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000106390,Gm5551,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000106391,Gm42690,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000106392,Gm5870,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000106393,Gm43562,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000106394,Gm42698,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000106395,Gm42439,23,0,0,0,0,0,4,23,0,0,0,0
ENSMUSG00000106396,Gm42902,3,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000106397,Gm21049,0,0,0,0,22,0,0,0,0,0,0,0
ENSMUSG00000106398,Gm43357,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000106399,Gm43530,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000106400,Mir216c,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000106401,Gm43284,0,0,0,0,0,95,0,0,0,0,0,0
ENSMUSG00000106402,Gm17824,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000106403,Igkv20-101-2,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000106404,Gm42919,32,0,12,66,0,0,0,0,25,0,0,0
ENSMUSG00000106405,Iglj3p,0,0,0,0,0,2,0,0,0,0,0,0
ENSMUSG00000106406,Mir7682,0,0,0,0,0,0,0,0,0,2,0,0
ENSMUSG00000106407,Gm43439,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000106408,Gm43321,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000106409,Mir7092,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000106410,Gm29755,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000106411,Gm42445,0,0,0,0,0,0,0,0,0,0,0,2
ENSMUSG00000106412,Gm44460,9,0,6,0,0,0,0,4,0,0,0,0
ENSMUSG00000106413,Gm42823,0,0,0,0,0,0,0,1,0,0,0,0
ENSMUSG00000106414,Gm43320,0,0,0,0,0,0,0,3,0,0,0,0
ENSMUSG00000106415,Gm42893,0,0,2,1,0,0,1,0,0,0,0,0
ENSMUSG00000106416,Gm5857,87,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000106417,Gm42628,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000106418,Gm44397,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000106419,Gm5550,50,0,11,765,0,0,22,15,0,0,0,0
ENSMUSG00000106420,Gm9245,4,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000106421,Gm9645,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000106422,Gm42812,3,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000106423,Gm42825,2,0,0,0,0,0,0,0,7,0,0,0
ENSMUSG00000106424,Gm34866,0,0,6,0,0,0,0,0,0,0,0,0
ENSMUSG00000106425,Mir873b,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000106426,Gm36211,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000106427,Gm42820,149,0,189,0,0,0,0,97,0,0,0,0
ENSMUSG00000106428,Gm42667,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000106429,Gm10685,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000106430,Gm42460,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000106431,Gm44492,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000106432,Gm43259,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000106433,Gm32102,5,0,0,0,0,0,0,7,0,0,0,0
ENSMUSG00000106434,Gm42990,0,0,0,0,0,0,0,0,0,0,12,0
ENSMUSG00000106435,Gm3103,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000106436,Mir7015,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000106437,Gm35667,0,0,0,0,0,0,0,0,0,0,0,44
ENSMUSG00000106438,Gm32051,2,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000106439,Gm44327,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000106440,Gm44466,1,0,0,1,0,0,0,0,0,0,0,0
ENSMUSG00000106441,Gm42921,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000106442,Gm42594,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000106443,Gm42702,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000106444,Gm18748,2,0,9,0,0,0,0,23,0,0,0,0
ENSMUSG00000106445,Gm21190,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000106446,Gm42970,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000106447,Gm42957,0,0,17,5,0,0,0,0,0,0,0,0
ENSMUSG00000106448,Gm43486,35,0,20,31,61,0,0,0,0,0,0,0
ENSMUSG00000106450,Gm43018,31,0,8,0,0,0,4,15,0,0,0,0
ENSMUSG00000106451,Gm42934,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000106452,Gm43749,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000106453,Gm9273,2,0,4,0,0,0,0,16,0,0,0,0
ENSMUSG00000106454,Gm17775,27,0,9,0,94,0,0,37,0,0,0,0
ENSMUSG00000106455,Gm5711,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000106456,Gm9678,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000106457,Gm42585,47,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000106458,Gm42633,4,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000106459,Gm43245,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000106460,Gm17935,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000106461,Gm20755,0,0,0,0,5,0,0,0,0,0,0,0
ENSMUSG00000106462,Gm43725,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000106463,Mir1291,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000106464,C130083M11Rik,0,0,3,0,0,0,16,0,0,0,0,0
ENSMUSG00000106465,Mir374c,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000106466,Gm40348,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000106467,Gm43395,6,20,0,0,0,0,9,4,0,0,0,0
ENSMUSG00000106468,Gm47282,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000106469,C030015E24Rik,0,0,7,0,0,0,8,37,0,0,0,0
ENSMUSG00000106470,Mir7055,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000106471,Mir3107,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000106472,Gm43111,71,0,2458,0,0,0,0,12,0,0,0,0
ENSMUSG00000106473,Gm19089,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000106474,Gm47294,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000106475,Gm43011,0,0,30,0,0,0,0,4,0,0,0,0
ENSMUSG00000106476,Rpl36-ps9,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000106477,Gm8874,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000106478,Gm36551,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000106479,Mir721,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000106480,Igkv14-118-1,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000106481,Trav15d-3,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000106482,Ighv8-16,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000106483,Gm32736,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000106484,Gm17833,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000106485,3830422I06Rik,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000106486,Gm9771,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000106487,Gm43407,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000106488,Mir669a-11,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000106489,Gm23370,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000106490,Gm43283,4,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000106491,Gm42446,0,61,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000106492,Gm29707,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000106493,Mir9-1,0,0,0,0,0,0,0,0,0,0,0,0
