GeneNames,value1,value2,log2(Fold_change),log2(Fold_change) normalized,p-value,q-value(Benjamini et al. 1995),q-value(Storey et al. 2003),Signature(p-value < 0.001)
Eif1b,15,120,-3,-3.12089017,0,0,0,TRUE
Psmd2,884,16,5.787902559,5.66701239,0,0,0,TRUE
Neu1,3,134,-5.48112669,-5.602016859,0,0,0,TRUE
Clic1,38,229,-2.591276275,-2.712166444,0,0,0,TRUE
Pole,219,661,-1.593719402,-1.714609572,0,0,0,TRUE
Casq1,3,105,-5.129283017,-5.250173187,0,0,0,TRUE
Dennd2c,17,235,-3.789054105,-3.909944275,0,0,0,TRUE
Mark3,17,263,-3.951456148,-4.072346318,0,0,0,TRUE
Gatad1,43977,2695,4.028392012,3.907501843,0,0,0,TRUE
M6pr,113,578,-2.35474672,-2.47563689,0,0,0,TRUE
Lrrc8a,211,3055,-3.855857476,-3.976747646,0,0,0,TRUE
Homer1,11,841,-6.256530372,-6.377420541,0,0,0,TRUE
Cav1,399,7985,-4.322831756,-4.443721926,0,0,0,TRUE
Bcl2l1,3,196,-6.029747343,-6.150637513,0,0,0,TRUE
Khsrp,501,48,3.383704292,3.262814123,0,0,0,TRUE
Ccdc124,146,3,5.604862058,5.483971888,0,0,0,TRUE
Zfp655,3,684,-7.832890014,-7.953780184,0,0,0,TRUE
Zmiz1,351,597,-0.766259901,-0.887150071,0,0,0,TRUE
Ankrd26,25,861,-5.106013238,-5.226903407,0,0,0,TRUE
Hnrnpa0,26757,42267,-0.659615348,-0.780505517,0,0,0,TRUE
Hnrnph1,2415,629,1.940891267,1.820001097,0,0,0,TRUE
Arid1a,31,618,-4.317266718,-4.438156887,0,0,0,TRUE
Rplp1,571,1001,-0.809879323,-0.930769493,0,0,0,TRUE
Fzd3,2334,405,2.526810748,2.405920578,0,0,0,TRUE
Fnbp4,152,343,-1.174137253,-1.295027422,0,0,0,TRUE
Scrn3,3,63,-4.392317423,-4.513207592,0,0,0,TRUE
1700109H08Rik,345,136,1.34298971,1.222099541,0,0,0,TRUE
Carhsp1,7,452,-6.01282404,-6.13371421,0,0,0,TRUE
Elk3,30,5375,-7.485158444,-7.606048613,0,0,0,TRUE
Herpud2,124,302,-1.284208429,-1.405098599,0,0,0,TRUE
Rdh13,3,398,-7.05166212,-7.17255229,0,0,0,TRUE
Arpc5,3,121,-5.333900737,-5.454790906,0,0,0,TRUE
Nfib,8202,3211,1.352953079,1.232062909,0,0,0,TRUE
Rbfox1,6,103,-4.101538026,-4.222428196,0,0,0,TRUE
Rpl10,10,649,-6.020146573,-6.141036743,0,0,0,TRUE
Rps15a,3,68,-4.502500341,-4.62339051,0,0,0,TRUE
Hipk1,9076,1624,2.482504976,2.361614807,0,0,0,TRUE
Man1a2,247,1105,-2.161463423,-2.282353592,0,0,0,TRUE
Acyp1,73,3,4.604862058,4.483971888,0,0,0,TRUE
Cd163,90,229,-1.347350692,-1.468240861,0,0,0,TRUE
Rala,172,412,-1.260235772,-1.381125942,0,0,0,TRUE
