GeneNames,value1,value2,log2(Fold_change),log2(Fold_change) normalized,p-value,q-value(Benjamini et al. 1995),q-value(Storey et al. 2003),Signature(p-value < 0.001)
Usp40,471,11091,-4.557518579,-4.520768924,0,0,0,TRUE
Celf1,40,187,-2.224966365,-2.18821671,0,0,0,TRUE
Ndufs3,417,3662,-3.134512502,-3.097762848,0,0,0,TRUE
Igf1r,27,21281,-9.622390822,-9.585641168,0,0,0,TRUE
Insr,431,758,-0.814509979,-0.777760324,0,0,0,TRUE
Adcy9,3,101,-5.073248982,-5.036499327,0,0,0,TRUE
Mef2c,395,3089,-2.967215313,-2.930465658,0,0,0,TRUE
Ctr9,21,173,-3.042310805,-3.00556115,0,0,0,TRUE
Eif4g2,3,315,-6.714245518,-6.677495863,0,0,0,TRUE
Mrvi1,228,75,1.604071324,1.640820978,0,0,0,TRUE
Mthfd2,3,358,-6.898853277,-6.862103622,0,0,0,TRUE
Kit,739,134,2.463341364,2.500091018,0,0,0,TRUE
Nr1i3,3,76,-4.662965013,-4.626215358,0,0,0,TRUE
Sh2d1a,3,687,-7.839203788,-7.802454133,0,0,0,TRUE
Ctcf,3,244,-6.345774837,-6.309025182,0,0,0,TRUE
Psmb4,8,583,-6.187352073,-6.150602418,0,0,0,TRUE
Slc30a4,3,138,-5.523561956,-5.486812301,0,0,0,TRUE
Metap1,55,1582,-4.846174171,-4.809424516,0,0,0,TRUE
Gata6,3,168,-5.807354922,-5.770605267,0,0,0,TRUE
Apc,26,1018,-5.291082128,-5.254332473,0,0,0,TRUE
Uqcc1,3,200,-6.058893689,-6.022144034,0,0,0,TRUE
Ncoa2,23,8030,-8.447622316,-8.410872662,0,0,0,TRUE
Trap1,3,555,-7.531381461,-7.494631806,0,0,0,TRUE
1700037C18Rik,3,184,-5.938599455,-5.901849801,0,0,0,TRUE
Tpr,7,239,-5.093511886,-5.056762231,0,0,0,TRUE
Dhx34,3,71,-4.564784619,-4.528034964,0,0,0,TRUE
Snf8,3,352,-6.874469118,-6.837719463,0,0,0,TRUE
Clint1,4904,1179,2.056395261,2.093144916,0,0,0,TRUE
Cdkal1,753,411,0.873511471,0.910261126,0,0,0,TRUE
5430419D17Rik,29,165,-2.508341219,-2.471591564,0,0,0,TRUE
Ccdc159,3,134,-5.48112669,-5.444377035,0,0,0,TRUE
Mob1b,3,150,-5.64385619,-5.607106535,0,0,0,TRUE
Tep1,3,211,-6.136136688,-6.099387033,0,0,0,TRUE
Ttc5,3,181,-5.914883386,-5.878133732,0,0,0,TRUE
Arpc2,20,186,-3.217230716,-3.180481061,0,0,0,TRUE
Rps9,3,219,-6.189824559,-6.153074904,0,0,0,TRUE
Ggt5,3,68,-4.502500341,-4.465750686,0,0,0,TRUE
Crip2,3,383,-6.996238081,-6.959488426,0,0,0,TRUE
Cbfa2t3,3,2742,-9.836050355,-9.7993007,0,0,0,TRUE
Adamts4,9,30923,-11.74646767,-11.70971801,0,0,0,TRUE
Pfdn2,5,75,-3.906890596,-3.870140941,0,0,0,TRUE
C330007P06Rik,5,1317,-8.041111535,-8.004361881,0,0,0,TRUE
Pdk1,88,1043,-3.567091824,-3.530342169,0,0,0,TRUE
Sfmbt1,231,22,3.392317423,3.429067078,0,0,0,TRUE
Atp7b,3,147,-5.614709844,-5.577960189,0,0,0,TRUE
Runx1t1,63,761,-3.59447272,-3.557723065,0,0,0,TRUE
P4htm,545,20259,-5.216162923,-5.179413268,0,0,0,TRUE
Cdc42,3,79,-4.718818247,-4.682068593,0,0,0,TRUE
Pknox1,11,2189,-7.636624621,-7.599874966,0,0,0,TRUE
D130043K22Rik,3,71,-4.564784619,-4.528034964,0,0,0,TRUE
Gmnn,3,383,-6.996238081,-6.959488426,0,0,0,TRUE
Acot13,3,98,-5.029747343,-4.992997689,0,0,0,TRUE
B4galnt1,3,129,-5.426264755,-5.3895151,0,0,0,TRUE
Mettl1,3,97,-5.014950341,-4.978200687,0,0,0,TRUE
Kif5b,208,948,-2.188303531,-2.151553876,0,0,0,TRUE
Cnp,949,11439,-3.591409039,-3.554659385,0,0,0,TRUE
Ttc25,3,600,-7.64385619,-7.607106535,0,0,0,TRUE
Sulf2,6086,281,4.436852298,4.473601953,0,0,0,TRUE
Sod2,185,652,-1.817346694,-1.780597039,0,0,0,TRUE
Eif1b,3,120,-5.321928095,-5.28517844,0,0,0,TRUE
Vwa7,3,158,-5.718818247,-5.682068593,0,0,0,TRUE
Neu1,3,134,-5.48112669,-5.444377035,0,0,0,TRUE
Clic1,3,229,-6.254241287,-6.217491633,0,0,0,TRUE
Lsm2,14,159,-3.505528033,-3.468778378,0,0,0,TRUE
Pole,66,661,-3.324112342,-3.287362687,0,0,0,TRUE
Casq1,3,105,-5.129283017,-5.092533362,0,0,0,TRUE
Dennd2c,3,235,-6.291554446,-6.254804791,0,0,0,TRUE
Mark3,15,263,-4.132028394,-4.095278739,0,0,0,TRUE
Gatad1,8957,2695,1.732730333,1.769479988,0,0,0,TRUE
Lrrc8a,3,3055,-9.991994164,-9.955244509,0,0,0,TRUE
Tgfbr1,3,70,-4.544320516,-4.507570861,0,0,0,TRUE
Homer1,3,841,-8.13099949,-8.094249835,0,0,0,TRUE
Cav1,65,7985,-6.940708879,-6.903959224,0,0,0,TRUE
Bcl2l1,3,196,-6.029747343,-5.992997689,0,0,0,TRUE
Cct4,3,2552,-9.732450113,-9.695700458,0,0,0,TRUE
Zfp655,129,684,-2.406625259,-2.369875605,0,0,0,TRUE
Rhoa,17,549,-5.013199498,-4.976449843,0,0,0,TRUE
Zmiz1,27,597,-4.466699619,-4.429949964,0,0,0,TRUE
Ankrd26,3,861,-8.164906927,-8.128157272,0,0,0,TRUE
Hnrnpa0,264,42267,-7.322849978,-7.286100323,0,0,0,TRUE
Hnrnph1,3,629,-7.711953706,-7.675204051,0,0,0,TRUE
Arid1a,3,618,-7.686500527,-7.649750872,0,0,0,TRUE
Rplp1,187,1001,-2.420331799,-2.383582144,0,0,0,TRUE
Fzd3,13,405,-4.96133838,-4.924588725,0,0,0,TRUE
Ubc,3,69,-4.523561956,-4.486812301,0,0,0,TRUE
Carhsp1,3,452,-7.235216462,-7.198466807,0,0,0,TRUE
Elk3,28,5375,-7.584694117,-7.547944463,0,0,0,TRUE
Herpud2,3,302,-6.653442239,-6.616692584,0,0,0,TRUE
Rdh13,3,398,-7.05166212,-7.014912465,0,0,0,TRUE
Nfib,230,3211,-3.803316899,-3.766567244,0,0,0,TRUE
Rpl10,3,649,-7.757112167,-7.720362512,0,0,0,TRUE
Rps15a,3,68,-4.502500341,-4.465750686,0,0,0,TRUE
Hipk1,60,1624,-4.758445322,-4.721695667,0,0,0,TRUE
Man1a2,47,1105,-4.555241803,-4.518492148,0,0,0,TRUE
Cd163,1718,229,2.907310533,2.944060188,0,0,0,TRUE
Rala,59,412,-2.803857478,-2.767107823,0,0,0,TRUE
Vps72,71,252,-1.827532804,-1.790783149,0,0,0,TRUE
Dynll1,3,599,-7.641449692,-7.604700037,0,0,0,TRUE
Pdcl,15,2212,-7.204245075,-7.16749542,0,0,0,TRUE
Ewsr1,3,68,-4.502500341,-4.465750686,0,0,0,TRUE
Ap1b1,3,78,-4.700439718,-4.663690063,0,0,0,TRUE
