"","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0009975","GO:0009975","cyclase activity","6/4410","24/28396",0.25,1.60975056689342,1.28136888683061,0.157352572165376,0.291798845166592,0.193775056916725,"Adcy3/Adcy6/Adcy7/Adcy9/Gucy2e/Rtca",6
"GO:0016493","GO:0016493","C-C chemokine receptor activity","6/4410","24/28396",0.25,1.60975056689342,1.28136888683061,0.157352572165376,0.291798845166592,0.193775056916725,"Ccr4/Ccr9/Ccrl2/Cxcr5/Cxcr6/Xcr1",6
"GO:0031683","GO:0031683","G-protein beta/gamma-subunit complex binding","6/4410","24/28396",0.25,1.60975056689342,1.28136888683061,0.157352572165376,0.291798845166592,0.193775056916725,"Adora1/Cetn1/Gna13/Gnai2/Gnal/Gnao1",6
"GO:0043395","GO:0043395","heparan sulfate proteoglycan binding","6/4410","24/28396",0.25,1.60975056689342,1.28136888683061,0.157352572165376,0.291798845166592,0.193775056916725,"App/Fst/Grem1/Lpl/Slit1/Slit2",6
"GO:0047555","GO:0047555","3',5'-cyclic-GMP phosphodiesterase activity","6/4410","24/28396",0.25,1.60975056689342,1.28136888683061,0.157352572165376,0.291798845166592,0.193775056916725,"Pde3b/Pde4a/Pde5a/Pde6c/Pde6g/Pde8b",6
"GO:0052742","GO:0052742","phosphatidylinositol kinase activity","6/4410","24/28396",0.25,1.60975056689342,1.28136888683061,0.157352572165376,0.291798845166592,0.193775056916725,"Pi4k2b/Pik3ca/Pik3cd/Pik3r1/Pip5k1a/Pip5k1c",6
"GO:0061134","GO:0061134","peptidase regulator activity","49/4410","274/28396",0.178832116788321,1.151500405515,1.08050626990537,0.159292038074542,0.291798845166592,0.193775056916725,"Acrbp/Anxa2/Aph1b/App/Atp2a3/Bad/Bin1/Birc5/Cav1/Cflar/Crim1/Cst11/Cst3/Ctsc/Furin/Gbp5/Itih3/Kng1/Kng2/Mansc4/Mmp25/Ngp/Nlrp1a/Nlrp3/Pcolce2/Pebp1/Prnp/Pzp/Rack1/Serpina16/Serpina6/Serpinb11/Serpinb1b/Serpinb9c/Serpinb9g/Serpinc1/Serpind1/Serpine1/Spink8/Tfpi/Timp4/Ube2z/Usp14/Wdr20/Wdr48/Wfdc13/Wfdc15b/Wfdc3/Xiap",49
"GO:0004016","GO:0004016","adenylate cyclase activity","5/4410","19/28396",0.263157894736842,1.69447428094045,1.29840758455836,0.160843304132807,0.291798845166592,0.193775056916725,"Adcy3/Adcy6/Adcy7/Adcy9/Gucy2e",5
"GO:0004435","GO:0004435","phosphatidylinositol phospholipase C activity","5/4410","19/28396",0.263157894736842,1.69447428094045,1.29840758455836,0.160843304132807,0.291798845166592,0.193775056916725,"Gdpd5/Plcb3/Plcb4/Plcd3/Plce1",5
"GO:0004890","GO:0004890","GABA-A receptor activity","5/4410","19/28396",0.263157894736842,1.69447428094045,1.29840758455836,0.160843304132807,0.291798845166592,0.193775056916725,"Gabra4/Gabra5/Gabrg2/Gabrg3/Gabrq",5
"GO:0005326","GO:0005326","neurotransmitter transmembrane transporter activity","5/4410","19/28396",0.263157894736842,1.69447428094045,1.29840758455836,0.160843304132807,0.291798845166592,0.193775056916725,"Slc17a8/Slc22a3/Slc29a4/Slc6a3/Slc6a4",5
"GO:0015174","GO:0015174","basic amino acid transmembrane transporter activity","5/4410","19/28396",0.263157894736842,1.69447428094045,1.29840758455836,0.160843304132807,0.291798845166592,0.193775056916725,"AU018091/Slc25a15/Slc38a4/Slc47a1/Slc7a2",5
"GO:0015295","GO:0015295","solute:proton symporter activity","5/4410","19/28396",0.263157894736842,1.69447428094045,1.29840758455836,0.160843304132807,0.291798845166592,0.193775056916725,"Slc11a2/Slc15a2/Slc2a13/Slc36a1/Slc36a2",5
"GO:0140036","GO:0140036","ubiquitin-dependent protein binding","5/4410","19/28396",0.263157894736842,1.69447428094045,1.29840758455836,0.160843304132807,0.291798845166592,0.193775056916725,"Ankrd13a/Dnajc2/Fan1/Sqstm1/Uimc1",5
"GO:0003906","GO:0003906","DNA-(apurinic or apyrimidinic site) endonuclease activity","4/4410","14/28396",0.285714285714286,1.83971493359248,1.34752153157385,0.160872394351987,0.291798845166592,0.193775056916725,"Aplf/Hmga1/Hmga1b/Polb",4
"GO:0004559","GO:0004559","alpha-mannosidase activity","4/4410","14/28396",0.285714285714286,1.83971493359248,1.34752153157385,0.160872394351987,0.291798845166592,0.193775056916725,"Man1a2/Man1c1/Man2b1/Manea",4
"GO:0005372","GO:0005372","water transmembrane transporter activity","4/4410","14/28396",0.285714285714286,1.83971493359248,1.34752153157385,0.160872394351987,0.291798845166592,0.193775056916725,"Aqp11/Aqp3/Aqp4/Aqp8",4
"GO:0036312","GO:0036312","phosphatidylinositol 3-kinase regulatory subunit binding","4/4410","14/28396",0.285714285714286,1.83971493359248,1.34752153157385,0.160872394351987,0.291798845166592,0.193775056916725,"Cd2ap/Dnm2/Fbxl2/Pik3r1",4
"GO:0051011","GO:0051011","microtubule minus-end binding","4/4410","14/28396",0.285714285714286,1.83971493359248,1.34752153157385,0.160872394351987,0.291798845166592,0.193775056916725,"Camsap2/Tmod3/Tubgcp5/Tubgcp6",4
"GO:0052650","GO:0052650","NADP-retinol dehydrogenase activity","4/4410","14/28396",0.285714285714286,1.83971493359248,1.34752153157385,0.160872394351987,0.291798845166592,0.193775056916725,"Akr1b10/Akr1b8/Rdh10/Rdh13",4
"GO:0055105","GO:0055105","ubiquitin-protein transferase inhibitor activity","4/4410","14/28396",0.285714285714286,1.83971493359248,1.34752153157385,0.160872394351987,0.291798845166592,0.193775056916725,"Gbp4/Rpl37rt/Rps15/Rps7",4
