GeneNames,value1,value2,log2.Fold_change.,log2.Fold_change..normalized,p.value,q.value.Benjamini.et.al..1995.,q.value.Storey.et.al..2003.,Signature.p.value...0.001.,Test.1.G,Test.1.G.1,Test.2.G,Test.2.G.1,Test.3.G,Test.3.G.1,change,label
Gpbp1,485,3,7.336878436,7.300128782,0,0,0,TRUE,409,1,9,1,67,1,Up,NA
Gpbp1l1,45,11,2.032421478,1.995671823,3.95E-06,1.82E-05,1.82E-05,TRUE,31,1,13,9,1,1,Up,NA
Gpc4,254,40,2.666756592,2.630006937,0,0,0,TRUE,110,23,131,16,13,1,Up,NA
Gpcpd1,690,22,4.971020933,4.934271278,0,0,0,TRUE,675,1,14,7,1,14,Up,NA
Gpd2,2046,148,3.789137064,3.752387409,0,0,0,TRUE,437,84,1608,63,1,1,Up,NA
Gper1,337,3,6.81164228,6.774892626,0,0,0,TRUE,335,1,1,1,1,1,Up,NA
Gphb5,28,3,3.222392421,3.185642767,1.96E-06,9.30E-06,9.24E-06,TRUE,18,1,9,1,1,1,Up,NA
Gpld1,28,3,3.222392421,3.185642767,1.96E-06,9.30E-06,9.24E-06,TRUE,14,1,13,1,1,1,Up,NA
Gpm6a,1214,3,8.660590206,8.623840551,0,0,0,TRUE,1134,1,75,1,5,1,Up,NA
Gpm6b,4642,531,3.127962757,3.091213102,0,0,0,TRUE,1877,348,2061,33,704,150,Up,NA
Gpn1,1097,17,6.011884969,5.975135314,0,0,0,TRUE,607,15,489,1,1,1,Up,NA
Gpr108,39,3,3.700439718,3.663690063,2.30E-09,1.28E-08,1.27E-08,TRUE,1,1,37,1,1,1,Up,NA
Gpr12,68,16,2.087462841,2.050713186,7.75E-09,4.21E-08,4.21E-08,TRUE,61,10,6,1,1,5,Up,NA
Gpr137b,1991,3,9.374315005,9.33756535,0,0,0,TRUE,20,1,1970,1,1,1,Up,NA
Gpr137b.ps,396,3,7.044394119,7.007644465,0,0,0,TRUE,369,1,26,1,1,1,Up,NA
Gpr137c,79,3,4.718818247,4.682068593,0,0,0,TRUE,17,1,1,1,61,1,Up,NA
Gpr139,21,3,2.807354922,2.770605267,0.000123959,0.000515349,0.000511515,TRUE,9,1,11,1,1,1,Up,NA
Gpr146,29,3,3.273018494,3.23626884,1.07E-06,5.17E-06,5.14E-06,TRUE,18,1,10,1,1,1,Up,NA
Gpr149,77,3,4.68182404,4.645074385,0,0,0,TRUE,28,1,26,1,23,1,Up,NA
Gpr155,84,3,4.807354922,4.770605267,0,0,0,TRUE,34,1,49,1,1,1,Up,NA
Gpr157,150,3,5.64385619,5.607106535,0,0,0,TRUE,30,1,119,1,1,1,Up,NA
Gpr158,68,11,2.628031223,2.591281568,2.80E-11,1.70E-10,1.70E-10,TRUE,13,1,54,9,1,1,Up,NA
Gpr160,59,3,4.297680549,4.260930894,7.33E-15,5.02E-14,5.00E-14,TRUE,10,1,48,1,1,1,Up,NA
Gpr171,544,3,7.502500341,7.465750686,0,0,0,TRUE,116,1,29,1,399,1,Up,NA
Gpr179,65,3,4.437405312,4.400655658,1.11E-16,8.04E-16,7.98E-16,TRUE,35,1,24,1,6,1,Up,NA
Gpr180,85,3,4.824428435,4.787678781,0,0,0,TRUE,57,1,27,1,1,1,Up,NA
Gpr19,25,3,3.058893689,3.022144034,1.18E-05,5.32E-05,5.28E-05,TRUE,19,1,1,1,5,1,Up,NA
